% Lao word list with break points
% !! = armageddon (7500)
% ! = nuclear (5000)
% ~ = emergency (1000)
% ~~ = discouraged (100)
% ~~~ = neutral (0)
% ~~~~ = encouraged (-200)
% ~~~~~ = excellent (-400)
% ~~~~~~ = superb (-1000)
% ~S~ = \hspace{0.4em plus 0.2em minus 0.1em}\allowbreak

ກກ| ກກ %
ຣາຊໂອງການ| ຣາຊ!ໂອງການ %
ຣາດ| ຣາດ %
ຣາບີ| ຣາບີ %
ຣາສີ| ຣາສີ %
ຣິດ| ຣິດ %
ຣິດທານຸພາບ| ຣິດທາ­ນຸພາບ % soft-hyphen
ຣິດອຳນາດ| ຣິດອຳນາດ %
ຣິດເດດ| ຣິດເດດ %
ລວງ| ລວງ %
ລວດລາຍ| ລວດ~ລາຍ %
ລວບລວມ| ລວບ~ລວມ %
ລວມ| ລວມ %
ລອກ| ລອກ %
ລອງ| ລອງ %
ລອຍ| ລອຍ %
ລອຍນວນ| ລອຍ~ນວນ %
ລອດ| ລອດ %
ລອດພົ້ນ| ລອດ~~ພົ້ນ %
ລອນດອນ| ລອນດອນ %
ລອບ| ລອບ %
ລອບສັງຫານ| ລອບ~~ສັງຫານ %
ລະ| ລະ %
ລະຄອນ| ລະຄອນ %
ລະງັບ| ລະງັບ %
ລະດັບ| ລະດັບ %
ລະດູ| ລະດູ %
ລະດູການ| ລະດູການ %
ລະທົມທຸກ| ລະທົມທຸກ %
ລະທົມໃຈ| ລະທົມໃຈ %
ລະນຶກ| ລະນຶກ %
ລະນຶກເຖິງ| ລະນຶກ!ເຖິງ %
ລະບອບ| ລະບອບ %
ລະບາຍ| ລະບາຍ %
ລະບາດ| ລະບາດ %
ລະບຸ| ລະບຸ %
ລະບົບ| ລະບົບ %
ລະບຽງ| ລະບຽງ %
ລະບຽບ| ລະບຽບ %
ລະມັດ| ລະມັດ %
ລະມັດລະວັງ| ລະມັດ~~~~ລະວັງ %
ລະລາຍ| ລະລາຍ %
ລະລຶກ| ລະລຶກ %
ລະວັງ| ລະວັງ %
ລະຫວ່າງ| ລະຫວ່າງ %
ລະອາຍ| ລະອາຍ %
ລະອຽດ| ລະອຽດ %
ລະເບີດ| ລະເບີດ %
ລະເມີດ| ລະເມີດ %
ລະເລີງ| ລະເລີງ %
ລະເລີຍ| ລະເລີຍ %
ລະແວກ| ລະແວກ %
ລະແວງ| ລະແວງ %
ລະແວງແຄງໃຈ| ລະແວງ~~ແຄງໃຈ %
ລະແຫງ| ລະແຫງ %
ລັກ| ລັກ %
ລັກລອບ| ລັກ~ລອບ %
ລັກສະນະ| ລັກສະນະ %
ລັງກຽດ| ລັງກຽດ %
ລັງເລ| ລັງເລ %
ລັດ| ລັດ %
ລັດຖະທຳມະນູນ| ລັດຖະ­ທຳມະນູນ % soft-hyphen
ລັດຖະບານ| ລັດຖະບານ %
ລັດຖະບຸລຸດ| ລັດຖະ­ບຸລຸດ %  soft-hyphen
ລັດຖະສະພາ| ລັດຖະສະພາ %
ລັດທິ| ລັດທິ %
ລັດເຕີເວີດ| ລັດເຕີ­ເວີດ % name of city in England soft-hyphen
ລັບ| ລັບ %
ລັບລິລັບລີ່| ລັບລິລັບລີ່ %
ລັ່ນ| ລັ່ນ %
ລັ່ນວາຈາ| ລັ່ນ~~ວາຈາ %
ລາ| ລາ %
ລາກ| ລາກ %
ລາຄະ| ລາຄະ %
ລາຄາ| ລາຄາ %
ລາງ| ລາງ %
ລາງວັນ| ລາງວັນ %
ລາຍ| ລາຍ %
ລາຍງານ| ລາຍ~~ງານ %
ລາຍລະອຽດ| ລາຍ!ລະອຽດ %
ລາດ| ລາດ %
ລາຕິນ| ລາຕິນ %
ລານ| ລານ %
ລາບ| ລາບ %
ລາບຍົດ| ລາບ~ຍົດ %
ລາມ| ລາມ %
ລາວ| ລາວ %
ລາວາ| ລາວາ %
ລຳ| ລຳ %
ລຳດັບ| ລຳດັບ %
ລຳທານ| ລຳທານ %
ລຳບາກ| ລຳບາກ %
ລຳພັງ| ລຳພັງ %
ລຳແສງ| ລຳແສງ %
ລິຂິດ| ລິຂິດ %
ລິດ| ລິດ %
ລິ້ມ| ລິ້ມ %
ລີອົງ| ລີອົງ % name
ລີເບຣາລິດ| ລີເບຣາລິດ % name
ລີ້| ລີ້ %
ລີ້ນ| ລີ້ນ % tongue
ລີ້ໄພ| ລີ້~ໄພ %
ລຶບ| ລຶບ %
ລຶບລ້າງ| ລຶບ~ລ້າງ %
ລຶ້ງ| ລຶ້ງ %
ລຶ້ງເຄີຍ| ລຶ້ງ~ເຄີຍ %
ລືມ| ລືມ %
ລືມເລືອນ| ລືມ~ເລືອນ %
ລືມໄລ| ລືມໄລ %
ລື່ນ| ລື່ນ %
ລຸກ| ລຸກ %
ລຸກລາມ| ລຸກ~ລາມ %
ລຸກຮື້| ລຸກ~ຮື້ %
ລຸກໄໝ້| ລຸກ~~ໄໝ້ %
ລຸ່ມ| ລຸ່ມ %
ລຸ້ນ| ລຸ້ນ %
ລູກ| ລູກ %
ລູກຄ້າ| ລູກ~~ຄ້າ %
ລູກຫຼານ| ລູກ~~ຫຼານ %
ລູກາ| ລູກາ % name
ລູກແກະ| ລູກ~~ແກະ %
ລູຊີເຟີ| ລູຊີເຟີ %
ລູບ| ລູບ %
ລູເທີ| ລູເທີ % name
ລູເທີແຣນ| ລູເທີແຣນ %
ລົງ| ລົງ %
ລົງຫຼັກປັກຖານ| ລົງ~~ຫຼັກ~~ປັກ~~ຖານ %
ລົງໂທດ| ລົງ~~ໂທດ %
ລົດ| ລົດ %
ລົດມ້າ| ລົດ~~ມ້າ %
ລົດສະນິຍົມ| ລົດສະນິຍົມ %
ລົບ| ລົບ %
ລົບກວນ| ລົບກວນ %
ລົບລ້າງ| ລົບ~ລ້າງ %
ລົບຫຼູ່| ລົບຫຼູ່ %
ລົມ| ລົມ %
ລົມບ້າໝູ| ລົມ~~ບ້າ~~ໝູ %
ລົ້ນ| ລົ້ນ %
ລົ້ມ| ລົ້ມ %
ລົ້ມຕາຍ| ລົ້ມ~~ຕາຍ %
ລົ້ມເຫຼວ| ລົ້ມ~ເຫຼວ %
ລົ້ມໝອນນອນເສື່ອ| ລົ້ມ~~ໝອນ~~ນອນ~~ເສື່ອ %
ລຽງ| ລຽງ %
ລຽບ| ລຽບ %
ລຽບງ່າຍ| ລຽບ~~ງ່າຍ %
ລ່ວງ| ລ່ວງ %
ລ່ວງລັບ| ລ່ວງ~ລັບ %
ລ່ວງໜ້າ| ລ່ວງ~ໜ້າ %
ລ່ອງລອຍ| ລ່ອງ~~ລອຍ %
ລ່າມ| ລ່າມ %
ລ່າມໂສ້| ລ່າມ~~ໂສ້ %
ລ່ຽນໄຫຼ| ລ່ຽນ~ໄຫຼ %
ລ້ວງ| ລ້ວງ %
ລ້ວງໜ້າ| ລ້ວງ~~ໜ້າ %
ລ້ວນ| ລ້ວນ %
ລ້ອມ| ລ້ອມ %
ລ້າ| ລ້າ %
ລ້າງ| ລ້າງ %
ລ້າງຜານ| ລ້າງ!ຜານ %
ລ້ານ| ລ້ານ %
ລ້າຫຼັງ| ລ້າຫຼັງ %
ລ້ຳ| ລ້ຳ %
ລ້ຳຄ່າ| ລ້ຳ!ຄ່າ %
ລ້ຳລວຍ| ລ້ຳ!ລວຍ %
ລ້ຳເລິກ| ລ້ຳເລິກ %
ລ້ຳເລີດ| ລ້ຳເລີດ %
ລ້ຽງ| ລ້ຽງ %
ລ້ຽງດູ| ລ້ຽງ~~ດູ %
ລໍ| ລໍ % mule, wait
ລໍຊ້າ| ລໍ~ຊ້າ %
ລໍຖ້າ| ລໍ~ຖ້າ %
ລໍ້| ລໍ້ %
ລໍ້ລວງ| ລໍ້!ລວງ %
ລໍ້ໃຈ| ລໍ້~ໃຈ %
ວອດວາຍ| ວອດ~ວາຍ %
ວອນ| ວອນ %
ວັກ| ວັກ %
ວັງ| ວັງ %
ວັດຖຸ| ວັດ!ຖຸ %
ວັດຖຸປະສົງ| ວັດຖຸ­ປະສົງ % soft-hyphen
ວັດທະນະທຳ| ວັດທະນະທຳ %
ວັດທະນະທຳ| ວັດທະນະທຳ %
ວັດວາ| ວັດວາ %
ວັດວາອາຮາມ| ວັດວາ­ອາຮາມ %  soft-hyphen
ວັດແທກ| ວັດ~ແທກ %
ວັນ| ວັນ %
ວັນນະກຳ| ວັນນະກຳ %
ວາງ| ວາງ %
ວາງແຜນ| ວາງ~~ແຜນ %
ວາງໄວ້| ວາງ~~ໄວ້ %
ວາຈາ| ວາຈາ %
ວາຊາຣີ| ວາຊາຣີ % name
ວາດ| ວາດ %
ວາດແຕ້ມ| ວາດ~~ແຕ້ມ %
ວາຕິກັນ| ວາຕິກັນ % name
ວາທະສິນ| ວາທະສິນ %
ວານ| ວານ %
ວາບ| ວາບ %
ວາລະ| ວາລະ %
ວິກິດ| ວິກິດ %
ວິງວອນ| ວິງ~ວອນ %
ວິຈານ| ວິຈານ %
ວິຈາລະນະຍານ| ວິຈາລະ­ນະຍານ %  soft-hyphen
ວິຈິດ| ວິຈິດ %
ວິຈິດບັນຈົງ| ວິຈິດ~ບັນຈົງ %
ວິຊາ| ວິ!!ຊາ %
ວິດຟຽວ| ວິດຟຽວ % name
ວິຕົກ| ວິຕົກ %
ວິຖີ| ວິຖີ %
ວິທະຍາສາດ| ວິທະຍາສາດ %
ວິທະຍາໄລ| ວິທະຍາ!ໄລ %
ວິທີ| ວິທີ %
ວິທີການ| ວິທີການ %
ວິນຍານ| ວິນຍານ %
ວິນລຽມ| ວິນລຽມ % name
ວິນວຽນ| ວິນ~ວຽນ %
ວິນາດ| ວິນາດ %
ວິນາທີ| ວິນາທີ %
ວິບັດ| ວິບັດ %
ວິພາກວິຈານ| ວິພາກ~~ວິຈານ %
ວິມານ| ວິມານ %
ວິລະກຳ| ວິລະກຳ %
ວິລະຊົນ| ວິລະຊົນ %
ວິລະບຸລຸດ| ວິລະ!!ບຸລຸດ %
ວິວາດ| ວິວາດ %
ວິຫານ| ວິຫານ %
ວິເຄາະ| ວິເຄາະ %
ວິໄຈ| ວິໄຈ %
ວິໄນ| ວິໄນ %
ວິໄລ| ວິໄລ %
ວິໄສທັດ| ວິໄສທັດ %
ວີ່ແວວ| ວີ່!ແວວ %
ວຸດທິພາວະ| ວຸດທິພາວະ %
ວຸ້ນ| ວຸ້ນ %
ວຸ້ນວາຍ| ວຸ້ນ!ວາຍ %
ວູບ| ວູບ %
ວົງ| ວົງ %
ວົງກວ້າງ| ວົງ~~ກວ້າງ %
ວົງການ| ວົງການ %
ວົນວຽນ| ວົນ!ວຽນ %
ວຽກ| ວຽກ %
ວຽກງານ| ວຽກ!ງານ %
ວຽງ| ວຽງ %
ວຽງຈັນ| ວຽງຈັນ %
ວຽນ| ວຽນ %
ວ່ອງໄວ| ວ່ອງ!ໄວ %
ວ່າ| ວ່າ %
ວ້າງ| ວ້າງ %
ວໍລະສານ| ວໍລະສານ %
ວໍເດັນຊີດຊ໌| ວໍເດັນຊີດຊ໌ % name
ສວຍ| ສວຍ %
ສວຍງາມ| ສວຍ~~~ງາມ %
ສວຍສົດງົດງາມ| ສວຍ~~ສົດ~~~ງົດ~~ງາມ %
ສວຍຫຼູ| ສວຍ~~ຫຼູ %
ສວນ| ສວນ %
ສວມ| ສວມ %
ສວມໃສ່| ສວມ~ໃສ່ %
ສວາຍ| ສວາຍ %
ສວິສ| ສວິສ %
ສວິສເຊີແລນ| ສວິສ­ເຊີແລນ % name soft-hyphen
ສອກຫຼີກ| ສອກ!ຫຼີກ %
ສອງ| ສອງ %
ສອດ| ສອດ %
ສອດຄ່ອງ| ສອດ~ຄ່ອງ %
ສອນ| ສອນ %
ສອບ| ສອບ %
ສອບຖາມ| ສອບ!ຖາມ %
ສອບສວນ| ສອບ~ສວນ %
ສະກັດກັ້ນ| ສະກັດກັ້ນ %
ສະກັນ| ສະກັນ %
ສະກັອດ| ສະກັອດ % name
ສະກັອດແລນ| ສະກັອດແລນ % name
ສະກາດ| ສະກາດ %
ສະກຸນ| ສະກຸນ %
ສະກຸນມາກ| ສະກຸນ!ມາກ %
ສະກົດ| ສະກົດ %
ສະກົດຈິດ| ສະກົດ!ຈິດ %
ສະດວກ| ສະດວກ %
ສະດັບ| ສະດັບ %
ສະດັບຮັບຟັງ| ສະດັບ~~ຮັບ~ຟັງ %
ສະດີດສະດິ້ງ| ສະດີດ~ສະດິ້ງ %
ສະດຸດ| ສະດຸດ %
ສະດຸ້ງ| ສະດຸ້ງ %
ສະຕະວັດ| ສະຕະວັດ %
ສະຕິ| ສະຕິ %
ສະຕິປັນຍາ| ສະຕິ~~ປັນຍາ %
ສະຖານ| ສະຖານ %
ສະຖານທີ່| ສະຖານ~ທີ່ %
ສະຖານະ| ສະຖານະ %
ສະຖານະການ| ສະຖານະການ %
ສະຖາບັນ| ສະຖາບັນ %
ສະຖາປະນາ| ສະຖາປະນາ %
ສະຖາປັດຕະຍະກຳ| ສະຖາ­ປັດຕະ­ຍະກຳ % soft-hyphen
ສະຖິດ| ສະຖິດ %
ສະທົກສະທ້ານ| ສະທົກ~~~ສະທ້ານ %
ສະທ້ອນ| ສະທ້ອນ %
ສະທ້ານ| ສະທ້ານ %
ສະນັ່ນ| ສະນັ່ນ %
ສະນັ້ນ| ສະນັ້ນ %
ສະບັດ| ສະບັດ %
ສະບັບ| ສະບັບ %
ສະບາຍ| ສະບາຍ %
ສະບາໂຕ| ສະບາໂຕ % Bible
ສະບູ| ສະບູ %
ສະບຽງ| ສະບຽງ %
ສະພັດ| ສະພັດ %
ສະພາ| ສະພາ %
ສະພານ| ສະພານ %
ສະພາບ| ສະພາບ %
ສະພຶງກົວ| ສະພຶງ!ກົວ %
ສະມະຖະ| ສະມະຖະ %
ສະມາຄົມ| ສະມາ!!ຄົມ %
ສະມາຊິກ| ສະມາ!!ຊິກ %
ສະວີເດັນ| ສະວີເດັນ %
ສະສົມ| ສະສົມ %
ສະຫງວນ| ສະຫງວນ %
ສະຫງັດ| ສະຫງັດ %
ສະຫງົບ| ສະຫງົບ %
ສະຫງົບສຸກ| ສະຫງົບ~ສຸກ %
ສະຫງ່າ| ສະຫງ່າ %
ສະຫງ່າງາມ| ສະຫງ່າ­ງາມ % soft-hyphen
ສະຫງ່າຜ່າເຜີຍ| ສະຫງ່າ­ຜ່າເຜີຍ % soft-hyphen
ສະຫງ່າຣາສີ| ສະຫງ່າ~ຣາສີ %
ສະຫຍອງ| ສະຫຍອງ %
ສະຫຍົດສະຫຍອງ| ສະຫຍົດ~~~ສະຫຍອງ %
ສະຫຍົບ| ສະຫຍົບ %
ສະຫວັດດີການ| ສະຫວັດ­ດີການ % soft hyphen
ສະຫວັນ| ສະຫວັນ %
ສະຫວ່າງ| ສະຫວ່າງ %
ສະຫວ່າງສະໄຫວ| ສະຫວ່າງ~~~ສະໄຫວ %
ສະຫະພັນ| ສະຫະພັນ %
ສະຫະລັດ| ສະຫະລັດ %
ສະຫາຍ| ສະຫາຍ %
ສະຫຼອງ| ສະຫຼອງ %
ສະຫຼະ| ສະຫຼະ %
ສະຫຼັບ| ສະຫຼັບ %
ສະຫຼັບຊັບຊ້ອນ| ສະຫຼັບ~~ຊັບ~~ຊ້ອນ %
ສະຫຼາກ| ສະຫຼາກ %
ສະຫຼາຍ| ສະຫຼາຍ %
ສະຫຼາດ| ສະ!ຫຼາດ %
ສະຫຼຸບ| ສະ!ຫຼຸບ %
ສະຫຼົດຫົດຫູ່| ສະຫຼົດ~~ຫົດ~~ຫູ່ %
ສະຫຼົດໃຈ| ສະຫຼົດ!ໃຈ %
ສະຫຼົວ| ສະຫຼົວ %
ສະຫຼຽວ| ສະຫຼຽວ %
ສະຫຼຽວສະຫຼາດ| ສະຫຼຽວ~~ສະຫຼາດ %
ສະອາດ| ສະ!ອາດ %
ສະອິດສະອຽນ| ສະອິດ~~ສະອຽນ %
ສະອື້ນ| ສະອື້ນ %
ສະອຸ່ມ| ສະອຸ່ມ %
ສະເງິ| ສະເງິ %
ສະເດັດ| ສະເດັດ %
ສະເຕຟາໂນ| ສະເຕຟາໂນ %
ສະເທືອນ| ສະເທືອນ %
ສະເປນ| ສະເປນ %
ສະເພາະ| ສະເພາະ %
ສະເຫວີຍ| ສະເຫວີຍ %
ສະເຫຼີມສະຫຼອງ| ສະເຫຼີມ~~~ສະຫຼອງ %
ສະເໜີ| ສະເໜີ %
ສະເໝີ| ສະເໝີ %
ສະເໝືອນ| ສະເໝືອນ %
ສະແດງ| ສະແດງ %
ສະແຫວງ| ສະແຫວງ %
ສະແຫວງຫາ| ສະແຫວງ~ຫາ %
ສະໂມສອນ| ສະໂມສອນ %
ສະໃຈ| ສະໃຈ %
ສະໄຫວ| ສະໄຫວ %
ສະໄໝ| ສະໄໝ %
ສະໜອງ| ສະໜອງ %
ສະໜັບສະໜູນ| ສະໜັບ~~ສະໜູນ %
ສະໜັ່ນ| ສະໜັ່ນ %
ສະໜານ| ສະໜານ %
ສະໜາມ| ສະໜາມ %
ສະໜາມຮົບ| ສະໜາມ~~ຮົບ %
ສະໜິດ| ສະໜິດ %
ສະໜິດຕິດແທດ| ສະໜິດ~ຕິດ~~ແທດ %
ສະໜິດສະໜົມ| ສະໜິດ~~~ສະໜົມ %
ສະໜຸກ| ສະໜຸກ %
ສະໜຸກສະໜານ| ສະໜຸກ~~~ສະໜານ %
ສະໜົມ| ສະໜົມ %
ສະໝອງ| ສະໝອງ %
ສະໝັກ| ສະໝັກ %
ສະໝານ| ສະໝານ %
ສະໝຸດ| ສະໝຸດ %
ສະໝຸນ| ສະໝຸນ %
ສະໝ່ຳ| ສະໝ່ຳ %
ສະໝ່ຳສະເໝີ| ສະໝ່ຳ~~~ສະເໝີ %
ສະໝໍ| ສະໝໍ %
ສັກ| ສັກ %
ສັກກະຍະພາບ| ສັກກະ­ຍະ­ພາບ % soft-hyphen
ສັກສິດ| ສັກສິດ %
ສັກສີ| ສັກສີ %
ສັງກັດ| ສັງກັດ %
ສັງຂານ| ສັງຂານ %
ສັງຄົມ| ສັງຄົມ %
ສັງສັນ| ສັງສັນ %
ສັງຫອນ| ສັງຫອນ %
ສັງຫານ| ສັງຫານ %
ສັງເກດ| ສັງເກດ %
ສັງເຂບ| ສັງເຂບ %
ສັງເວີຍ| ສັງເວີຍ %
ສັດ| ສັດ %
ສັດຈະທຳ| ສັດຈະທຳ %
ສັດຊື່| ສັດຊື່ %
ສັດຕູ| ສັດຕູ %
ສັດທາ| ສັດທາ %
ສັດຮ້າຍ| ສັດ~ຮ້າຍ %
ສັນຍະລັກ| ສັນຍະລັກ %
ສັນຍາ| ສັນຍາ %
ສັນຍານ| ສັນຍານ %
ສັນຕະປາປາ| ສັນຕະ­ປາປາ % Pope soft-hyphen
ສັນຕະສຳນັກ| ສັນຕະ­­ສຳນັກ % soft-hyphen
ສັນຕິ| ສັນຕິ %
ສັນຕິພາບ| ສັນຕິພາບ %
ສັນຕິຣາດ| ສັນຕິຣາດ %
ສັນຕິສຸກ| ສັນຕິສຸກ %
ສັນນັ້ນ| ສັນ!ນັ້ນ %
ສັນລະເສີນ| ສັນລະເສີນ %
ສັນເສີນ| ສັນເສີນ %
ສັນໂດດ| ສັນໂດດ %
ສັນໃດ| ສັນ!ໃດ %
ສັບ| ສັບ %
ສັບພະ| ສັບພະ %
ສັບພະສິ່ງ| ສັບພະສິ່ງ %
ສັບສົນ| ສັບສົນ %
ສັ່ງ| ສັ່ງ %
ສັ່ງສອນ| ສັ່ງ!ສອນ %
ສັ່ງເສຍ| ສັ່ງ!ເສຍ %
ສັ່ນ| ສັ່ນ %
ສັ່ນຄອນ| ສັ່ນ!ຄອນ %
ສັ່ນສະເທືອນ| ສັ່ນ~~ສະເທືອນ %
ສັ້ນ| ສັ້ນ %
ສາ| ສາ %
ສາກ| ສາກ %
ສາກົນ| ສາກົນ %
ສາກົນລະໂລກ| ສາກົນລະ­ໂລກ % soft-hyphen
ສາຂາ| ສາຂາ %
ສາງ| ສາງ %
ສາຍ| ສາຍ %
ສາຍຕາ| ສາຍ~~ຕາ %
ສາຍພູ| ສາຍ~~ພູ %
ສາຍສືບ| ສາຍ~~ສືບ %
ສາຍາ| ສາຍາ %
ສາຍານາມ| ສາຍານາມ %
ສາຍແອວ| ສາຍ~~ແອວ %
ສາຍແຮ່| ສາຍ~~ແຮ່ %
ສາຍໂສ້| ສາຍ~~ໂສ້ %
ສາຍໃຍ| ສາຍ~~ໃຍ %
ສາດ| ສາດ %
ສາດສະດາຈານ| ສາດສະດາ­ຈານ %  soft-hyphen
ສາດສ່ອງ| ສາດ~~ສ່ອງ %
ສາທາລະນະ| ສາທາລະນະ %
ສາທາລະນະລັດ| ສາທາ­ລະນະລັດ % soft-hyphen
ສານ| ສານ %
ສານຸກົມ| ສານຸກົມ %
ສາບ| ສາບ %
ສາບານ| ສາບານ %
ສາບົດສາບານ| ສາບົດ~~ສາບານ %
ສາບແຊ່ງ| ສາບ~~ແຊ່ງ %
ສາມ| ສາມ %
ສາມັກຄີ| ສາມັກຄີ %
ສາມັກຄີທຳ| ສາມັກຄີທຳ %
ສາມັນ| ສາມັນ %
ສາມາດ| ສາມາດ %
ສາມານ| ສາມານ %
ສາມີ| ສາມີ %
ສາລະ| ສາລະ %
ສາລະພັດ| ສາລະພັດ %
ສາລະພາບ| ສາລະພາບ %
ສາລະວົນ| ສາລະວົນ %
ສາລານຸກົມ| ສາລານຸກົມ %
ສາລີ| ສາລີ %
ສາວ| ສາວ %
ສາວົກ| ສາວົກ %
ສາສະໜາ| ສາສະ­ໜາ % soft-hyphen
ສາສະໜາຈານ| ສາສະໜາ­ຈານ % soft-hyphen
ສາສະໜາສາດ| ສາສະໜາ­ສາດ % soft-hyphen
ສາສົມ| ສາສົມ %
ສາຫັດ| ສາຫັດ %
ສາເຫດ| ສາເຫດ %
ສຳຄັນ| ສຳຄັນ %
ສຳນວນ| ສຳນວນ %
ສຳນັກ| ສຳນັກ %
ສຳນຶກ| ສຳນຶກ %
ສຳຜັດ| ສຳຜັດ %
ສຳພັນ| ສຳພັນ %
ສຳມະຄົມ| ສຳມະຄົມ %
ສຳມະເລເທເມົາ| ສຳມະເລ­ເທ!ເມົາ % soft-hyphen
ສຳລວມ| ສຳລວມ %
ສຳລັບ| ສຳລັບ %
ສຳລານ| ສຳລານ %
ສຳລານບານອົກ| ສຳລານ­ບານອົກ % soft-hyphen
ສຳຫຼວດ| ສຳຫຼວດ %
ສຳຮອງ| ສຳຮອງ %
ສຳເນົາ| ສຳເນົາ %
ສຳເລັດ| ສຳເລັດ %
ສຳແດງ| ສຳແດງ %
ສິງ| ສິງ %
ສິດ| ສິດ %
ສິດທິ| ສິດທິ %
ສິດອຳນາດ| ສິດ!ອຳນາດ %
ສິນ| ສິນ %
ສິນທຳ| ສິນທຳ %
ສິນບົນ| ສິນ!ບົນ %
ສິນລະທຳ| ສິນລະທຳ %
ສິນສອດ| ສິນສອດ %
ສິບ| ສິບ %
ສິລະປະ| ສິລະປະ %
ສິລະປິນ| ສິລະປິນ %
ສິລາ| ສິລາ %
ສິ່ງ| ສິ່ງ %
ສິ່ງຂອງ| ສິ່ງ~~ຂອງ %
ສິ້ນ| ສິ້ນ %
ສິ້ນພຣະຊົນ| ສິ້ນ~~ພຣະ­ຊົນ % soft-hyphen
ສິ້ນສຸດ| ສິ້ນ~~ສຸດ %
ສິ້ນຫວັງ| ສິ້ນ~ຫວັງ %
ສິ້ນເຊີງ| ສິ້ນ~~ເຊີງ %
ສິ້ນເປືອງ| ສິ້ນ~~ເປືອງ %
ສີ| ສີ %
ສີຂາວ| ສີ~~ຂາວ %
ສີຄາມ| ສີ~~ຄາມ %
ສີດາ| ສີດາ %
ສີດຳ| ສີ~~ດຳ %
ສີວິໄລ| ສີວິໄລ %
ສີສະ| ສີສະ %  head
ສີເທົາ| ສີ~~ເທົາ %
ສີເຫຼືອງ| ສີ~~ເຫຼືອງ %
ສີແດງ| ສີ~~ແດງ %
ສີແດງກ່ຳ| ສີ~~ແດງ~ກ່ຳ %
ສີ່| ສີ່ %
ສີໜ້າມ້ານຫຼ່າ| ສີໜ້າ~ມ້ານຫຼ່າ %
ສຶກສາ| ສຶກ!ສາ %
ສືບ| ສືບ %
ສືບຕໍ່| ສືບ~ຕໍ່ %
ສືບຕໍ່ເນື່ອງ| ສືບ~ຕໍ່~~ເນື່ອງ %
ສືບສວນ| ສືບ~ສວນ %
ສື່| ສື່ %
ສື່ກາງ| ສື່ກາງ %
ສຸກ| ສຸກ %
ສຸກກະເສີມ| ສຸກກະເສີມ %
ສຸຂະພາບ| ສຸຂະພາບ %
ສຸຂຸມ| ສຸຂຸມ %
ສຸດ| ສຸດ %
ສຸດຈະຣິດ| ສຸດຈະຣິດ %
ສຸດຊຶ້ງ| ສຸດ!ຊຶ້ງ %
ສຸດທ້າຍ| ສຸດ~~ທ້າຍ %
ສຸດວິໄສ| ສຸດ~~ວິໄສ %
ສຸພາບ| ສຸພາບ %
ສຸພາສິດ| ສຸພາສິດ %
ສຸມ| ສຸມ %
ສຸມໃສ່| ສຸມໃສ່ %
ສຸມໄຟ| ສຸມ~~ໄຟ %
ສຸຣາ| ສຸຣາ %
ສຸລາ| ສຸລາ %
ສຸລາຢາເມົາ| ສຸລາ~~ຢາ~~ເມົາ %
ສຸສານ| ສຸສານ %
ສຸ່ມ| ສຸ່ມ %
ສຸ່ມສີ່ສຸ່ມຫ້າ| ສຸ່ມ~~ສີ່~~ສຸ່ມ~~ຫ້າ %
ສູງ| ສູງ %
ສູງຊັນ| ສູງ~ຊັນ %
ສູງສຸດ| ສູງ~ສຸດ %
ສູງສົ່ງ| ສູງ~ສົ່ງ %
ສູດ| ສູດ %
ສູນ| ສູນ %
ສູນເສຍ| ສູນ~ເສຍ %
ສູບ| ສູບ %
ສູ່| ສູ່ %
ສູ້| ສູ້ %
ສູ້ທົນ| ສູ້~ທົນ %
ສູ້ຮົບ| ສູ້~ຮົບ %
ສົກກະປົກ| ສົກກະປົກ %
ສົງ| ສົງ %
ສົງຄາມ| ສົງຄາມ %
ສົງສານ| ສົງສານ %
ສົງໄສ| ສົງໄສ %
ສົດ| ສົດ %
ສົດຊື່ນ| ສົດ~ຊື່ນ %
ສົດໃສ| ສົດ~ໃສ %
ສົນ| ສົນ %
ສົນທະນາ| ສົນທະນາ %
ສົນທິສັນຍາ| ສົນທິ­ສັນຍາ %  soft-hyphen
ສົບ| ສົບ %
ສົມ| ສົມ %
ສົມຄວນ| ສົມຄວນ %
ສົມທຽບ| ສົມທຽບ %
ສົມບັດ| ສົມບັດ %
ສົມບູນ| ສົມບູນ %
ສົມມຸດ| ສົມມຸດ %
ສົມຣົດ| ສົມຣົດ %
ສົມຫວັງ| ສົມ~ຫວັງ %
ສົມຮູ້ຮ່ວມຄິດ| ສົມຮູ້­ຮ່ວມ­ຄິດ % soft-hyphen
ສົ່ງ| ສົ່ງ %
ສົ່ງເສີມ| ສົ່ງເສີມ %
ສົ້ນ| ສົ້ນ %
ສົ້ມ| ສົ້ມ %
ສຽງ| ສຽງ %
ສຽງດັງ| ສຽງ~~~ດັງ %
ສຽງແກ| ສຽງ~~~ແກ %
ສຽດ| ສຽດ %
ສຽດສີ| ສຽດສີ %
ສຽບ| ສຽບ %
ສຽບແທງ| ສຽບ~~~ແທງ %
ສ່ວນ| ສ່ວນ %
ສ່ວນຫຼາຍ| ສ່ວນ~~~ຫຼາຍ %
ສ່ອງ| ສ່ອງ %
ສ່າຍ| ສ່າຍ %
ສ່ຳ| ສ່ຳ %
ສ່ຳນັ້ນ| ສ່ຳ~~ນັ້ນ %
ສ່ຳໃດ| ສ່ຳ~~ໃດ %
ສ່ຽງ| ສ່ຽງ %
